INFO:root:M, Material_2 instance N.127, P1
INFO:root:M, Material_3 instance N.124, P3
INFO:root:M, Material_1 instance N.125, P2
INFO:root:M, Material_1 instance N.128, P1
INFO:root:M, Material_2 instance N.123, P3
INFO:root:M, Material_1 instance N.122, P3
INFO:root:M, Material_2 instance N.127, P2
INFO:root:M, Material_1 instance N.129, P1
INFO:root:M, Material_1 instance N.130, P1
INFO:root:M, Material_2 instance N.131, P1
INFO:root:M, Material_3 instance N.126, P2
INFO:root:M, Material_1 instance N.132, P1
INFO:root:M, Material_1 instance N.133, P1
INFO:root:M, Material_1 instance N.128, P2
INFO:root:M, Material_3 instance N.124, skip
INFO:root:M, Material_3 instance N.124, P1
INFO:root:M, Material_1 instance N.132, P2
INFO:root:M, Material_1 instance N.125, P3
INFO:root:M, Material_1 instance N.128, P3
INFO:root:M, Material_2 instance N.123, P1
INFO:root:M, Material_1 instance N.130, P2
INFO:root:M, Material_1 instance N.129, P2
INFO:root:M, Material_2 instance N.127, P3
INFO:root:M, Material_3 instance N.134, skip
INFO:root:M, Material_3 instance N.134, P3
INFO:root:M, Material_1 instance N.130, P3
INFO:root:M, Material_3 instance N.126, skip
INFO:root:M, Material_3 instance N.126, P1
INFO:root:M, Material_2 instance N.131, P2
INFO:root:M, Material_1 instance N.132, P3
INFO:root:M, Material_1 instance N.135, P1
INFO:root:M, Material_1 instance N.133, P2
INFO:root:M, Material_2 instance N.131, P3
INFO:root:M, Material_2 instance N.136, P1
INFO:root:M, Material_1 instance N.135, P2
INFO:root:M, Material_2 instance N.137, P1
INFO:root:M, Material_2 instance N.127, P1
INFO:root:M, Material_1 instance N.129, P3
INFO:root:M, Material_1 instance N.135, P3
INFO:root:M, Material_2 instance N.137, P2
INFO:root:M, Material_3 instance N.134, P2
INFO:root:M, Material_2 instance N.136, P2
INFO:root:M, Material_1 instance N.138, P1
INFO:root:M, Material_3 instance N.139, P1
INFO:root:M, Material_3 instance N.140, skip
INFO:root:M, Material_3 instance N.140, P2
INFO:root:M, Material_1 instance N.133, P3
INFO:root:M, Material_2 instance N.141, P1
INFO:root:M, Material_1 instance N.138, P2
INFO:root:M, Material_3 instance N.134, skip
INFO:root:M, Material_3 instance N.134, P1
INFO:root:M, Material_3 instance N.142, skip
INFO:root:M, Material_3 instance N.142, P3
INFO:root:M, Material_1 instance N.143, P1
INFO:root:M, Material_3 instance N.139, P1
INFO:root:M, Material_2 instance N.131, P1
INFO:root:M, Material_3 instance N.144, skip
INFO:root:M, Material_3 instance N.144, P3
INFO:root:M, Material_2 instance N.141, P2
INFO:root:M, Material_1 instance N.143, P2
INFO:root:M, Material_3 instance N.145, skip
INFO:root:M, Material_3 instance N.145, P2
INFO:root:M, Material_3 instance N.144, P2
INFO:root:M, Material_2 instance N.137, P3
